region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
Dakar,1970,724461.6921597,27614.737825599997,696846.9543341,96.18824040000001
Dakar,1971,759203.2526073001,28805.871926999997,730397.3806802,96.205776
Dakar,1972,795610.844586,30048.384406700003,765562.4601793,96.2232309
Dakar,1973,833764.3626382,31344.491419700003,802419.8712184,96.2406055
Dakar,1974,873747.5326485,32696.5047126,841051.0279358,96.2579002
Dakar,1975,915648.0955765999,34106.835746900004,881541.2598296999,96.2751153
Dakar,1976,959558.0,35578.0,923980.0,96.2922512
Dakar,1977,995975.145216,36776.723536000005,959198.4216799999,96.3074657
Dakar,1978,1033774.3939271999,38015.1652065,995759.2287208,96.3226826
Dakar,1979,1073008.1997254998,39294.6122429,1033713.5874827,96.337902
Dakar,1980,1113731.0069216,40616.3923384,1073114.6145831998,96.35312370000001
Dakar,1981,1155999.3260962,41981.874863599995,1114017.4512326,96.3683478
Dakar,1982,1199871.8125202,43392.4721164,1156479.3404038,96.3835743
Dakar,1983,1245409.347549,44849.640606400004,1200559.7069426,96.3988033
Dakar,1984,1292675.1231071998,46354.8823747,1246320.2407325,96.4140346
Dakar,1985,1341734.7293794,47909.746351099995,1293824.9830282,96.4292684
Dakar,1986,1392656.2458288,49515.82974740001,1343140.4160813,96.44450450000001
Dakar,1987,1445510.3356705,51174.7794898,1394335.5561807,96.4597431
Dakar,1988,1500375.0,52898.0,1447477.0,96.47434809999999
Dakar,1989,1558377.997125,54737.442048000004,1503640.555077,96.4875375
Dakar,1990,1618483.0780961001,56635.093491499996,1561847.9846046001,96.50073
Dakar,1991,1680702.4230674,58595.219520800005,1622107.2035466002,96.51364699999999
Dakar,1992,1744827.9433171002,60120.3785712,1684707.5647459,96.5543664
Dakar,1993,1811005.7775512,62171.504060800005,1748834.2734903998,96.5670179
Dakar,1994,1879382.1116884,64284.5075755,1815097.6041128999,96.5794871
Dakar,1995,1939636.0,66755.0,1872881.0,96.5583749
Dakar,1996,2012303.0,69011.0,1943292.0,96.5705463
Dakar,1997,2087345.0,71336.0,2016009.0,96.5824528
Dakar,1998,2164806.0,73725.0,2091081.0,96.59438309999999
Dakar,1999,2244682.0,76184.0,2168498.0,96.60602259999999
Dakar,2000,2326929.0,78706.0,2248223.0,96.617602
Dakar,2001,2411529.0,81293.0,2330236.0,96.6289852
Dakar,2002,2267356.0,74986.0,2192370.0,96.69279990000001
Dakar,2003,2268542.0,77282.0,2191260.0,96.59331850000001
Dakar,2004,2399451.0,79349.0,2320102.0,96.69303520000001
Dakar,2005,2452656.0,81106.0,2371550.0,96.6931359
Dakar,2006,2508311.0,82943.0,2425368.0,96.69327290000001
Dakar,2007,2428155.0,79950.90420710001,2348204.0957929003,96.70733929999999
Dakar,2008,2482294.0,69079.0,2413215.0,97.2171306
Dakar,2009,2536959.0,70600.0,2466359.0,97.2171407
Dakar,2010,2592191.0,72137.0,2520054.0,97.22
Dakar,2013,3137196.0,110880.0,3026316.0,96.4656336422716
Dakar,2014,3233460.0,116405.0,3117055.0,96.39998639228571
Dakar,2015,3330692.0,119905.0,3210787.0,96.3999973579064
Dakar,2016,3429370.0,123457.0,3305913.0,96.40000933115999
Dakar,2017,3529300.0,127054.0,3402246.0,96.40002266738449
Dakar,2018,3630324.0,130693.0,3499631.0,96.39996319887699
Diourbel,1970,372010.3893189,302329.99423609994,69680.39508280001,18.730765899999998
Diourbel,1971,381310.6490519,308494.63619040005,72816.0128616,19.096244199999997
Diourbel,1972,390843.4152782,314750.6818379,76092.7334403,19.4688539
Diourbel,1973,400614.5006602,321097.594215,79516.9064452,19.848734
Diourbel,1974,410629.8631767,327534.6959415,83095.1672352,20.2360263
Diourbel,1975,420895.6097561,334061.1599953,86834.44976080001,20.630875600000003
Diourbel,1976,431418.0,340676.0,90742.0,21.0334293
Diourbel,1977,444892.909812,351127.658598,93765.251214,21.075914899999997
Diourbel,1978,458788.69495710003,361899.4668684,96889.2280887,21.1184864
Diourbel,1979,473118.5010554,373001.2145544,100117.2865009,21.161143799999998
Diourbel,1980,487895.88431730005,384442.99018200004,103452.8941353,21.2038874
Diourbel,1981,503134.8243681,396235.19015890005,106899.6342092,21.2467174
Diourbel,1982,518849.7374724,408388.5281503,110461.2093221,21.2896338
Diourbel,1983,535055.4901726,420914.0447395,114141.44543310002,21.332637
Diourbel,1984,551767.4133527,433823.1173821,117944.29597060001,21.375726999999998
Diourbel,1985,569001.3167413,447127.47066190006,121873.84607950001,21.418904100000002
Diourbel,1986,586773.5038684,460839.18685909995,125934.3170093,21.462168300000002
Diourbel,1987,605100.7874882,474970.7168392,130130.07064910002,21.50552
Diourbel,1988,624000.0,489535.0,134465.0,21.5488782
Diourbel,1989,644148.96,505089.29095,139059.66905,21.5881229
Diourbel,1990,664933.0703434,521129.9369224,143803.133421,21.626707999999997
Diourbel,1991,686345.9100076,537649.5873657,148696.32264189998,21.664924399999997
Diourbel,1992,708293.1931719,554575.9904997,153717.20267220002,21.702482
Diourbel,1993,730826.1245263,571948.327926,158877.79660029997,21.7394796
Diourbel,1994,753993.3126738,589803.1191886,164190.19348520003,21.776080899999997
Diourbel,1995,777894.9006856,608214.6797008,169680.2209848,21.812743700000002
Diourbel,1996,798054.0,623699.0,174355.0,21.847519100000003
Diourbel,1997,823116.0,642997.0,180119.0,21.882577899999998
Diourbel,1998,848859.0,662814.0,186045.0,21.917067499999998
Diourbel,1999,875272.0,683140.0,192132.0,21.951119199999997
Diourbel,2000,902327.0,703954.0,198373.0,21.984602
Diourbel,2001,930007.0,725240.0,204767.0,22.0177913
Diourbel,2002,1049954.0,881596.0,168358.0,16.0347977
Diourbel,2003,1076874.0,906727.9079999999,170146.092,15.8
Diourbel,2004,1144009.0,965208.0,178801.0,15.629335099999999
Diourbel,2005,1183095.0,1000893.0,182202.0,15.400453899999999
Diourbel,2006,1226379.0,1039821.0,186558.0,15.2121
Diourbel,2007,1234755.0,1048005.3533740999,186749.64662589997,15.124429300000001
Diourbel,2008,1274494.0,1077488.0,197006.0,15.4575855
Diourbel,2009,1315200.0,1111907.0,203293.0,15.457192800000001
Diourbel,2010,1356796.0,1147079.0,209717.0,15.46
Diourbel,2013,1497455.0,1257585.0,239870.0,16.0185114076884
Diourbel,2014,1543647.0,1295120.0,248527.0,16.0999891814644
Diourbel,2015,1591593.0,1335347.0,256246.0,16.0999702813471
Diourbel,2016,1641350.0,1375451.0,265899.0,16.2000182776373
Diourbel,2017,1692967.0,1418707.0,274260.0,16.1999613695955
Diourbel,2018,1746496.0,1463564.0,282932.0,16.1999798453589
Fatick,1970,359363.9434828,330557.8706527,28806.07283,8.0158495
Fatick,1971,368348.0420698,338245.6959625,30102.3461074,8.172256299999999
Fatick,1972,377556.74312159995,346099.7914394,31456.951682200004,8.331714999999999
Fatick,1973,386995.6616996,354123.1471917,32872.5145079,8.494285000000001
