"region","indicator","Unit","Date","Value"
"Dakar","Taux d'urbanisation","","1970","96.1882404"
"Dakar","Taux d'urbanisation","","1971","96.205776"
"Dakar","Taux d'urbanisation","","1972","96.2232309"
"Dakar","Taux d'urbanisation","","1973","96.2406055"
"Dakar","Taux d'urbanisation","","1974","96.2579002"
"Dakar","Taux d'urbanisation","","1975","96.2751153"
"Dakar","Taux d'urbanisation","","1976","96.2922512"
"Dakar","Taux d'urbanisation","","1977","96.3074657"
"Dakar","Taux d'urbanisation","","1978","96.3226826"
"Dakar","Taux d'urbanisation","","1979","96.337902"
"Dakar","Taux d'urbanisation","","1980","96.3531237"
"Dakar","Taux d'urbanisation","","1981","96.3683478"
"Dakar","Taux d'urbanisation","","1982","96.3835743"
"Dakar","Taux d'urbanisation","","1983","96.3988033"
"Dakar","Taux d'urbanisation","","1984","96.4140346"
"Dakar","Taux d'urbanisation","","1985","96.4292684"
"Dakar","Taux d'urbanisation","","1986","96.4445045"
"Dakar","Taux d'urbanisation","","1987","96.4597431"
"Dakar","Taux d'urbanisation","","1988","96.4743481"
"Dakar","Taux d'urbanisation","","1989","96.4875375"
"Dakar","Taux d'urbanisation","","1990","96.50073"
"Dakar","Taux d'urbanisation","","1991","96.513647"
"Dakar","Taux d'urbanisation","","1992","96.5543664"
"Dakar","Taux d'urbanisation","","1993","96.5670179"
"Dakar","Taux d'urbanisation","","1994","96.5794871"
"Dakar","Taux d'urbanisation","","1995","96.5583749"
"Dakar","Taux d'urbanisation","","1996","96.5705463"
"Dakar","Taux d'urbanisation","","1997","96.5824528"
"Dakar","Taux d'urbanisation","","1998","96.5943831"
"Dakar","Taux d'urbanisation","","1999","96.6060226"
"Dakar","Taux d'urbanisation","","2000","96.617602"
"Dakar","Taux d'urbanisation","","2001","96.6289852"
"Dakar","Taux d'urbanisation","","2002","96.6927999"
"Dakar","Taux d'urbanisation","","2003","96.5933185"
"Dakar","Taux d'urbanisation","","2004","96.6930352"
"Dakar","Taux d'urbanisation","","2005","96.6931359"
"Dakar","Taux d'urbanisation","","2006","96.6932729"
"Dakar","Taux d'urbanisation","","2007","96.7073393"
"Dakar","Taux d'urbanisation","","2008","97.2171306"
"Dakar","Taux d'urbanisation","","2009","97.2171407"
"Dakar","Taux d'urbanisation","","2010","97.22"
"Dakar","Taux d'urbanisation","","2013","96.4656336422716"
"Dakar","Taux d'urbanisation","","2014","96.3999863922857"
"Dakar","Taux d'urbanisation","","2015","96.3999973579064"
"Dakar","Taux d'urbanisation","","2016","96.40000933116"
"Dakar","Taux d'urbanisation","","2017","96.4000226673845"
"Dakar","Taux d'urbanisation","","2018","96.399963198877"
"Dakar","Effectif de la population","","1970","724461.6921597"
"Dakar","Effectif de la population","","1971","759203.2526073"
"Dakar","Effectif de la population","","1972","795610.844586"
"Dakar","Effectif de la population","","1973","833764.3626382"
"Dakar","Effectif de la population","","1974","873747.5326485"
"Dakar","Effectif de la population","","1975","915648.0955766"
"Dakar","Effectif de la population","","1976","959558"
"Dakar","Effectif de la population","","1977","995975.145216"
"Dakar","Effectif de la population","","1978","1033774.3939272"
"Dakar","Effectif de la population","","1979","1073008.1997255"
"Dakar","Effectif de la population","","1980","1113731.0069216"
"Dakar","Effectif de la population","","1981","1155999.3260962"
"Dakar","Effectif de la population","","1982","1199871.8125202"
"Dakar","Effectif de la population","","1983","1245409.347549"
"Dakar","Effectif de la population","","1984","1292675.1231072"
"Dakar","Effectif de la population","","1985","1341734.7293794"
"Dakar","Effectif de la population","","1986","1392656.2458288"
"Dakar","Effectif de la population","","1987","1445510.3356705"
"Dakar","Effectif de la population","","1988","1500375"
"Dakar","Effectif de la population","","1989","1558377.997125"
"Dakar","Effectif de la population","","1990","1618483.0780961"
"Dakar","Effectif de la population","","1991","1680702.4230674"
"Dakar","Effectif de la population","","1992","1744827.9433171"
"Dakar","Effectif de la population","","1993","1811005.7775512"
"Dakar","Effectif de la population","","1994","1879382.1116884"
"Dakar","Effectif de la population","","1995","1939636"
"Dakar","Effectif de la population","","1996","2012303"
"Dakar","Effectif de la population","","1997","2087345"
"Dakar","Effectif de la population","","1998","2164806"
"Dakar","Effectif de la population","","1999","2244682"
"Dakar","Effectif de la population","","2000","2326929"
"Dakar","Effectif de la population","","2001","2411529"
"Dakar","Effectif de la population","","2002","2267356"
"Dakar","Effectif de la population","","2003","2268542"
"Dakar","Effectif de la population","","2004","2399451"
"Dakar","Effectif de la population","","2005","2452656"
"Dakar","Effectif de la population","","2006","2508311"
"Dakar","Effectif de la population","","2007","2428155"
"Dakar","Effectif de la population","","2008","2482294"
"Dakar","Effectif de la population","","2009","2536959"
"Dakar","Effectif de la population","","2010","2592191"
"Dakar","Effectif de la population","","2013","3137196"
"Dakar","Effectif de la population","","2014","3233460"
"Dakar","Effectif de la population","","2015","3330692"
"Dakar","Effectif de la population","","2016","3429370"
"Dakar","Effectif de la population","","2017","3529300"
"Dakar","Effectif de la population","","2018","3630324"
"Dakar","Population urbaine","","1970","696846.9543341"
"Dakar","Population urbaine","","1971","730397.3806802"
"Dakar","Population urbaine","","1972","765562.4601793"
"Dakar","Population urbaine","","1973","802419.8712184"
"Dakar","Population urbaine","","1974","841051.0279358"
"Dakar","Population urbaine","","1975","881541.2598297"
"Dakar","Population urbaine","","1976","923980"
"Dakar","Population urbaine","","1977","959198.42168"
"Dakar","Population urbaine","","1978","995759.2287208"
"Dakar","Population urbaine","","1979","1033713.5874827"
"Dakar","Population urbaine","","1980","1073114.6145832"
"Dakar","Population urbaine","","1981","1114017.4512326"
"Dakar","Population urbaine","","1982","1156479.3404038"
"Dakar","Population urbaine","","1983","1200559.7069426"
"Dakar","Population urbaine","","1984","1246320.2407325"
"Dakar","Population urbaine","","1985","1293824.9830282"
"Dakar","Population urbaine","","1986","1343140.4160813"
"Dakar","Population urbaine","","1987","1394335.5561807"
"Dakar","Population urbaine","","1988","1447477"
"Dakar","Population urbaine","","1989","1503640.555077"
"Dakar","Population urbaine","","1990","1561847.9846046"
"Dakar","Population urbaine","","1991","1622107.2035466"
"Dakar","Population urbaine","","1992","1684707.5647459"
"Dakar","Population urbaine","","1993","1748834.2734904"
"Dakar","Population urbaine","","1994","1815097.6041129"
"Dakar","Population urbaine","","1995","1872881"
"Dakar","Population urbaine","","1996","1943292"
"Dakar","Population urbaine","","1997","2016009"
"Dakar","Population urbaine","","1998","2091081"
"Dakar","Population urbaine","","1999","2168498"
"Dakar","Population urbaine","","2000","2248223"
"Dakar","Population urbaine","","2001","2330236"
"Dakar","Population urbaine","","2002","2192370"
"Dakar","Population urbaine","","2003","2191260"
"Dakar","Population urbaine","","2004","2320102"
"Dakar","Population urbaine","","2005","2371550"
"Dakar","Population urbaine","","2006","2425368"
"Dakar","Population urbaine","","2007","2348204.0957929"
"Dakar","Population urbaine","","2008","2413215"
"Dakar","Population urbaine","","2009","2466359"
"Dakar","Population urbaine","","2010","2520054"
"Dakar","Population urbaine","","2013","3026316"
"Dakar","Population urbaine","","2014","3117055"
"Dakar","Population urbaine","","2015","3210787"
"Dakar","Population urbaine","","2016","3305913"
"Dakar","Population urbaine","","2017","3402246"
"Dakar","Population urbaine","","2018","3499631"
"Dakar","Population rurale","","1970","27614.7378256"
"Dakar","Population rurale","","1971","28805.871927"
"Dakar","Population rurale","","1972","30048.3844067"
"Dakar","Population rurale","","1973","31344.4914197"
"Dakar","Population rurale","","1974","32696.5047126"
"Dakar","Population rurale","","1975","34106.8357469"
"Dakar","Population rurale","","1976","35578"
"Dakar","Population rurale","","1977","36776.723536"
"Dakar","Population rurale","","1978","38015.1652065"
"Dakar","Population rurale","","1979","39294.6122429"
"Dakar","Population rurale","","1980","40616.3923384"
"Dakar","Population rurale","","1981","41981.8748636"
"Dakar","Population rurale","","1982","43392.4721164"
"Dakar","Population rurale","","1983","44849.6406064"
"Dakar","Population rurale","","1984","46354.8823747"
"Dakar","Population rurale","","1985","47909.7463511"
"Dakar","Population rurale","","1986","49515.8297474"
"Dakar","Population rurale","","1987","51174.7794898"
"Dakar","Population rurale","","1988","52898"
"Dakar","Population rurale","","1989","54737.442048"
"Dakar","Population rurale","","1990","56635.0934915"
"Dakar","Population rurale","","1991","58595.2195208"
"Dakar","Population rurale","","1992","60120.3785712"
"Dakar","Population rurale","","1993","62171.5040608"
"Dakar","Population rurale","","1994","64284.5075755"
"Dakar","Population rurale","","1995","66755"
"Dakar","Population rurale","","1996","69011"
"Dakar","Population rurale","","1997","71336"
"Dakar","Population rurale","","1998","73725"
"Dakar","Population rurale","","1999","76184"
"Dakar","Population rurale","","2000","78706"
"Dakar","Population rurale","","2001","81293"
"Dakar","Population rurale","","2002","74986"
"Dakar","Population rurale","","2003","77282"
"Dakar","Population rurale","","2004","79349"
"Dakar","Population rurale","","2005","81106"
"Dakar","Population rurale","","2006","82943"
"Dakar","Population rurale","","2007","79950.9042071"
"Dakar","Population rurale","","2008","69079"
"Dakar","Population rurale","","2009","70600"
"Dakar","Population rurale","","2010","72137"
"Dakar","Population rurale","","2013","110880"
"Dakar","Population rurale","","2014","116405"
"Dakar","Population rurale","","2015","119905"
"Dakar","Population rurale","","2016","123457"
"Dakar","Population rurale","","2017","127054"
"Dakar","Population rurale","","2018","130693"
"Diourbel","Taux d'urbanisation","","1970","18.7307659"
"Diourbel","Taux d'urbanisation","","1971","19.0962442"
"Diourbel","Taux d'urbanisation","","1972","19.4688539"
"Diourbel","Taux d'urbanisation","","1973","19.848734"
"Diourbel","Taux d'urbanisation","","1974","20.2360263"
"Diourbel","Taux d'urbanisation","","1975","20.6308756"
"Diourbel","Taux d'urbanisation","","1976","21.0334293"
"Diourbel","Taux d'urbanisation","","1977","21.0759149"
"Diourbel","Taux d'urbanisation","","1978","21.1184864"
"Diourbel","Taux d'urbanisation","","1979","21.1611438"
"Diourbel","Taux d'urbanisation","","1980","21.2038874"
"Diourbel","Taux d'urbanisation","","1981","21.2467174"
"Diourbel","Taux d'urbanisation","","1982","21.2896338"
"Diourbel","Taux d'urbanisation","","1983","21.332637"
"Diourbel","Taux d'urbanisation","","1984","21.375727"
"Diourbel","Taux d'urbanisation","","1985","21.4189041"
"Diourbel","Taux d'urbanisation","","1986","21.4621683"
"Diourbel","Taux d'urbanisation","","1987","21.50552"
"Diourbel","Taux d'urbanisation","","1988","21.5488782"
"Diourbel","Taux d'urbanisation","","1989","21.5881229"
"Diourbel","Taux d'urbanisation","","1990","21.626708"
"Diourbel","Taux d'urbanisation","","1991","21.6649244"
"Diourbel","Taux d'urbanisation","","1992","21.702482"
"Diourbel","Taux d'urbanisation","","1993","21.7394796"
"Diourbel","Taux d'urbanisation","","1994","21.7760809"
"Diourbel","Taux d'urbanisation","","1995","21.8127437"
"Diourbel","Taux d'urbanisation","","1996","21.8475191"
"Diourbel","Taux d'urbanisation","","1997","21.8825779"
"Diourbel","Taux d'urbanisation","","1998","21.9170675"
