,region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
0,Dakar,2017,3529300.0,127054.0,3402246.0,96.40002266738449
1,Dakar,2018,3630324.0,130693.0,3499631.0,96.39996319887699
2,Diourbel,2017,1692967.0,1418707.0,274260.0,16.1999613695955
3,Diourbel,2018,1746496.0,1463564.0,282932.0,16.1999798453589
4,Fatick,2017,813542.0,676053.0,137489.0,16.9000494135521
5,Fatick,2018,841294.0,697433.0,143861.0,17.099967431124
6,Kaffrine,2017,655121.0,541130.0,113991.0,17.3999917572479
7,Kaffrine,2018,678955.0,558101.0,120854.0,17.800001472851697
8,Kaolack,2017,1086464.0,683386.0,403078.0,37.09998674599429
9,Kaolack,2018,1120404.0,700253.0,420151.0,37.4999553732404
10,Kedougou,2017,172482.0,126257.0,46225.0,26.7998979603669
11,Kedougou,2018,178269.0,130136.0,48133.0,27.0002075515092
12,Kolda,2017,748451.0,539633.0,208818.0,27.9000228471871
13,Kolda,2018,772073.0,552805.0,219268.0,28.3999051903123
14,Louga,2017,976885.0,751225.0,225660.0,23.0999554707054
15,Louga,2018,1004401.0,769371.0,235030.0,23.4000165272635
16,Matam,2017,654981.0,489926.0,165055.0,25.199967632648896
17,Matam,2018,680086.0,503944.0,176142.0,25.899959710977697
18,Saint Louis,2017,1009170.0,523759.0,485411.0,48.100022791006495
19,Saint Louis,2018,1036009.0,531473.0,504536.0,48.6999630312092
20,Sedhiou,2017,517016.0,403790.0,113226.0,21.899902517523604
21,Sedhiou,2018,534655.0,414893.0,119762.0,22.399865333719898
22,Tambacounda,2017,783777.0,587833.0,195944.0,24.999968103172197
23,Tambacounda,2018,812075.0,606620.0,205455.0,25.300003078533397
24,Thies,2017,1995037.0,973578.0,1021459.0,51.2000028069655
25,Thies,2018,2049764.0,990036.0,1059728.0,51.70000058543321
26,Ziguinchor,2017,621168.0,324250.0,296918.0,47.79995105993871
27,Ziguinchor,2018,641254.0,332170.0,309084.0,48.199933255777
